date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant
2021-11-09,00:29:40,@DrStacieStanley @NatlBlueRibbon @lc_coyotes Thank you so much!  We are thrilled to have a @NatlBlueRibbon school.  Who is next?!,1457867952959594501,[],3281641669,CentraliaSup,"Buena Park, CA",660,True,,,0.0
2021-11-09,00:27:20,#CentraliaESD is proud to have 100% of our schools be @PBIS_CA award winners!This is not the first year w/this recognition- Shows our focus on positive school environments!  🎉 @bt_eagles @rt_eagles @dy_dragons @sm_ramsBP @lc_coyotes @mi_roadrunners @CT_bees @db_dolphins https://t.co/JCkG6JE34S,1457867367560605700,['CentraliaESD'],3281641669,CentraliaSup,"Buena Park, CA",660,True,,,0.0
2021-11-09,00:25:12,Indian Springs Coyotes Football Travels to Hawthorne Friday for their Quarterfinal game.  Come out if you can. Ticket information included. https://t.co/RsxhXb7yuh,1457866828500410374,[],2704634042,ISHSCoyotes,San Bernardino CA,407,True,,,0.0
2021-11-09,00:03:23,@JohnRayburnTheA Coyotes notoriously forget to turn back their clocks.,1457861336948297728,[],43790102,Braggartatbest,Los Angeles,2370,False,,,0.0
2021-11-09,00:00:39,Hey Coyotes! Here are this week's events! #coyotepride #lvusd https://t.co/YeOwVmepCN,1457860650584129543,"['coyotepride', 'lvusd']",51948241,CalabasasHS,"Calabasas, CA",2213,True,,,0.0
2021-11-08,21:54:57,"To all my fellow Coyotes, come out to both or one of our socials going on for CSUSB LBSA. Come and find out what LBSA is and socialize with members from  other schools through ULSA. Come meet the familia💙❤💯, follow us on our insta @lbsa.coyote to stay updated https://t.co/x9EP061wo3",1457829017390776321,[],1368098708412268546,Stevenserrano21,"Riverside, CA",158,True,,,0.0
2021-11-08,21:51:36,@Philzfacts Need #SeaKraken to not be in the playoff hunt … losing to Coyotes helps,1457828174922850304,['SeaKraken'],33926872,TuckonSports,Los Angeles,17758,True,,,0.0
2021-11-08,12:27:50,"At this moment, I have a neighbor that lives 750 away. He keeps his two Labrador retrievers in a 15’ish square pen with a roof outside at night. How do I know this? Because I came hear them barking. Constantly. 

Apparently they just won a debate with the coyotes. https://t.co/oJV5Swuc3f",1457686295719804931,[],1326533374668763138,DavidCMaybury,"Perris, CA",440,True,,,1.0
2021-11-08,10:51:07,"@AstroBackyard Had the coyotes barking within a few hundred feet of me in Joshua Tree tonight. I shined a light in their direction to let them know I’m aware of them. Oddly, one sounded like a dog.

What freaked me out more were the hikers somewhere in the dark. I just heard foot steps!",1457661958916743171,[],68834376,darrenreely,"Los Angeles, CA",147,True,,,1.0
2021-11-08,06:56:55,@shenjonsin but the coyotes !,1457603020506615810,[],1305036469053005824,wapsack,LA,96,False,,,0.0
2021-11-07,23:55:34,"What comes to mind is that there was a new baby, dog, or a significant other who is allergic to cats. But there have to be better options than letting the cat fend for itself - at night - when our community is bustling with coyotes.",1457496985137606657,[],1873509336,iamlubos,"Westlake Village, CA",354,True,,,0.0
2021-11-07,23:11:23,"@WhatSayU_2020 @DineshDSouza Some children were brought here by coyotes [human smugglers]. In other cases, U.S. border officials separated children from their parents, and deported the parents.

A federal court compelled the collection of contact information for parents, but poor records were maintained.",1457485865089912836,[],1857212994,SusanScranton,Ontario,623,False,,,0.0
2021-11-07,21:47:50,"Saw 2 coyotes last night(almost hit one cuz it was a dark street), an owl fly past my windshield the night before.. what’s on the menu today? A peacock?",1457464837915623424,[],1216422102758084608,Goody2sneakrs,"Inglewood, CA",307,False,,,0.0
2021-11-07,20:09:45,@zumank @mynamesnotgordy Wait until the coyotes get a sniff of this!,1457440153346187265,[],1335613030852386817,DaleRose111,Ontario ,188,False,,,0.0
2021-11-07,18:31:04,@SomeHart Get a ring-a predator like an owl or coyotes probably,1457415321598382080,[],905934946065293312,HollyAnneKeen1,"Monrovia, CA",451,False,,,0.0
2021-11-07,15:09:57,@NotAlexis What’s your stance on coyotes?,1457364706973212676,[],926854748,culvercity_al,Culver City,156,True,,,0.0
2021-11-07,15:05:31,Urban Coyotes Los Angeles -My Morning Run! Protect Your Pets! #youtubesh... https://t.co/hrj6pxCMiy via @YouTube,1457363590881501196,['youtubesh'],425329730,CostaDomenic,"San Pedro, CA",2759,True,,,0.0
2021-11-07,13:43:21,YES....... LOST TO THE COYOTES &amp; DRUG DEALERS....   :D https://t.co/XqFQ99yV6C,1457342915387314176,[],602934138,Screenwriter6,"Beverly Hills, CA",725,True,,,0.0
2021-11-07,13:34:46,"The kitten just turned up outside the barn. Nearest neighbours are half a mile away and he doesn't belong to them.

He is so cute &amp; house trained so he's either an escapee or he's been dumped 😪

Glad we got to him before the coyotes did. https://t.co/rojXmPQ63Y",1457340754351824899,[],1106897142998880256,4stringscaz,Eastern Ontario,178,False,,,1.0
2021-11-07,13:30:35,@SomeHart Coyotes in our neighborhood. I've found half-cats in my yard. 😝,1457339700817981443,[],818005332,ErinThomasRev,"Riverside, CA",1327,True,,,0.0
