tweet,relevant,proba_0,proba_1
"Defender Radio Live: Canid Response Teams and Coexistence Lesley Sampson of Coyote Watch Canada joins Defender Radio Podcast host Michael Howie for a live event and recording in Hamilton, Ontario.  https://t.co/jLycjr3Xv7",0.0,0.8877697761052116,0.11223022389478932
"At this moment, I have a neighbor that lives 750 away. He keeps his two Labrador retrievers in a 15’ish square pen with a roof outside at night. How do I know this? Because I came hear them barking. Constantly. 

Apparently they just won a debate with the coyotes. https://t.co/oJV5Swuc3f",1.0,0.035002193080196545,0.9649978069198035
"really just saw a coyote cross the street and stare at me as i drove by 😭😭😭 what the, la habra heights",1.0,0.04773954631846989,0.9522604536815312
To make it worse no one else saw the coyote bruh,1.0,0.9490470823858893,0.05095291761411059
"my enemy the big coyote ran in front of my car tonight, but i couldn’t end him like that. if i ever catch him it’ll be on though",1.0,0.023555265232881605,0.9764447347671177
Wile E Coyote was a victim. The Road Runner is a fascist. https://t.co/GAaWTJ7xSu,0.0,0.997511250916346,0.0024887490836543345
"What comes to mind is that there was a new baby, dog, or a significant other who is allergic to cats. But there have to be better options than letting the cat fend for itself - at night - when our community is bustling with coyotes.",1.0,0.03090190577597149,0.9690980942240267
"@WhatSayU_2020 @DineshDSouza Some children were brought here by coyotes [human smugglers]. In other cases, U.S. border officials separated children from their parents, and deported the parents.

A federal court compelled the collection of contact information for parents, but poor records were maintained.",0.0,0.9054736961148869,0.09452630388511402
"Saw 2 coyotes last night(almost hit one cuz it was a dark street), an owl fly past my windshield the night before.. what’s on the menu today? A peacock?",1.0,0.03588356095586041,0.9641164390441375
"@FlorenceHRS We were hiking once near San Diego and a small coyote came onto the path…it was soooo cute, but was also low-key scared it’s older family members would come, it scampered off rather quickly",1.0,0.002075325986122516,0.9979246740138811
this is insane bro went out like wile e. coyote https://t.co/Z4PGC8bhUN,1.0,0.8886730994247357,0.11132690057526343
@EmbryEthan @MartaFKauffman Coyote is great.,0.0,0.9595645380713778,0.040435461928622005
"Kraken @ Coyotes 11/6/21 | NHL Highlights - NHL
https://t.co/zpdE5rGSJa",0.0,0.9885336345506068,0.011466365449392215
"NHL Highlights | Kraken vs. Coyotes - Nov. 6, 2021 - SPORTSNET
https://t.co/Smcp74bDq8",0.0,0.9968392189667116,0.0031607810332894377
Ok I made it safe no coyote chased me,0.0,0.9374234658855976,0.06257653411440316
The Seattle Kraken lost to the Arizona Coyotes………… The Ducks are gonna murder them on the 11th,0.0,0.9990233936668502,0.0009766063331498312
Letting the Coyotes score 1 goal is bad enough….but 5?!?!,0.0,0.9631563245312267,0.036843675468772735
@SomeHart Sounds like coyotes. 🤔,0.0,0.9523217139406717,0.04767828605932941
Joni Mitchell with The Band - Coyote (The Last Waltz) https://t.co/Qt9bhia7n4,0.0,0.9267147312014556,0.07328526879854425
