Unnamed: 0,date,time,tweet,tweet_id,hashtags,user_id,username,location,num_followers,geo_enabled,long,lat,relevant,neg_sent_score,neu_sent_score,pos_sent_score,compound_sent_score,sent_class
0.0,2021-11-17,20:25:55,there’s always mountain lion sightings at my school and I haven’t seen one yet and I want to,1461068101764534274,[],929085239833509888,memyselfandnat,"Camarillo, CA",1582,True,,,1,0.0,0.929,0.071,0.0772,positive
1.0,2021-11-17,18:54:34,Love learning about all of the different apps that @teambeechwood made for the app challenge! Great job Bobcats! @tosa_esther #bookstosa #fsdlearns https://t.co/rvxwRySQPd,1461045111693840386,"['bookstosa', 'fsdlearns']",725401233813434369,Jenna_Breite,"Fullerton, CA",138,False,,,0,0.0,0.651,0.349,0.8802,positive
2.0,2021-11-17,17:00:00,"2017 Bobcat E50 #excavator ⏬

A/C, hydraulic bucket disconnect, hydraulic thumb, blade, 2 speed, rubber tracks, 50 HP &amp; 2410 hours, listed by Bryan's Farm &amp; Industrial Supply: https://t.co/mJ1NrtyAzI

#OntAg #FarmEquipment #Bobcat #Machinery #AgTwitter https://t.co/XQEJzfHCbX",1461016280224309250,"['excavator', 'OntAg', 'FarmEquipment', 'Bobcat', 'Machinery', 'AgTwitter']",78892811,OntAg,Ontario,25169,True,,,0,0.0,1.0,0.0,0.0,neutral
3.0,2021-11-17,15:36:56,#Bobcat. Only in LA! Another surprise in the Backyard! https://t.co/K2FRrXMZdX,1460995375213707269,['Bobcat'],273766668,DrRobertKlapper,"Los Angeles, CA",21576,False,,,0,0.0,0.77,0.23,0.3987,positive
4.0,2021-11-17,15:15:15,@PiperPerabo @Yellowstone Like a true Bobcat,1460989921036935171,[],66865119,jacobsaylor,"Los Angeles, CA",962,True,,,0,0.0,0.43,0.57,0.6486,positive
5.0,2021-11-17,08:58:05,@Venice311 @ai6yrham @LauraLeeActor @engineco16 @SuzsSinamonRolz @CameraTrapSue @geococcyxcal @jsilv579 @keith_johnson Is that a bobcat in Venice?,1460895001370501128,[],592495886,SantaMonicaPaws,"Playa del Rey, CA",113,True,,,0,0.0,1.0,0.0,0.0,neutral
6.0,2021-11-17,06:28:15,@BOBCATiot @helium getting the bobcat THE PEOPLES MJNER. would be a great way to kickoff the holidays.,1460857294443343872,[],1268053094996180992,DelJunele,"Los Angeles, CA",8,False,,,0,0.0,0.691,0.309,0.7717,positive
7.0,2021-11-17,05:46:26,"@ai6yrham The Tucker Wildlife Sanctuary is a little gem hidden in Modjeska Canyon here in Orange County. One visit I saw a Bobcat walking along the dried stream bed, followed by my wife calling out ""here kitty, kitty."" ""That's a wild animal you're following,"" I screamed. 😆",1460846771756847106,[],800760635512393729,davidhcrocker,"Placentia, CA",98,True,,,0,0.044,0.907,0.048,0.0516,positive
8.0,2021-11-17,05:30:59,@net4for3 @ai6yrham @LauraLeeActor @engineco16 @SuzsSinamonRolz @CameraTrapSue @geococcyxcal @jsilv579 @keith_johnson Murder floof is Maji the bobcat… I am using @WyzeCam v3 indoor/outdoor cams and some of their outdoor modules. I love them! Skunk got spooked! https://t.co/BqVTbAHOrX,1460842884161150982,[],237620107,Venice311,"Venice, CA 90291",187403,True,,,0,0.124,0.777,0.099,-0.2695,negative
9.0,2021-11-17,01:21:22,"This backyard in the middle of Los Angeles attracts bobcats, turkey vultures, ravens, screech owls, a one-eyed coyote, white-crowned sparrows and one pregnant squirrel named Mrs. Bonita--over 75 species in all. Check it out if you break for #wildlife 
https://t.co/rsLJAVKmPW",1460780064644079621,['wildlife'],385548573,dkizis,"Los Angeles, CA",322,True,,,1,0.053,0.884,0.063,0.1027,positive
10.0,2021-11-16,22:28:30,Bobcat is plotting when it will bite it off. Go to bathroom 🪥. #NastyNerds https://t.co/sJaiX0knfe,1460736564959473667,['NastyNerds'],1437035778664583176,FabergeF,"Beverly Hills, CA",10,False,,,0,0.0,1.0,0.0,0.0,neutral
11.0,2021-11-16,22:23:56,"Mark your calendars, Bobcats! https://t.co/jspVBudXLz",1460735414256291844,[],18748365,SaddlebackColl,"Mission Viejo, CA",3552,True,,,0,0.0,1.0,0.0,0.0,neutral
12.0,2021-11-16,21:44:12,"🚫 Do not approach a mountain lion or its cubs
🗣️ If a mountain lion behaves aggressively, wave your arms slowly and speak firmly in a loud voice

#LaVerne residents can report mountain lion encounters or incidents to the @IVHSSPCA Emergency Dispatch at (909) 594-9858 (2/2)",1460725416386183169,['LaVerne'],1291412668566212609,cityoflaverneca,"La Verne, CA",230,False,,,1,0.098,0.902,0.0,-0.5994,negative
